,Drug use disorders,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
1441,"Coahoma County, Mississippi",28027,"0.84 (0.43, 1.47)","1.09 (0.59, 1.76)","1.61 (0.92, 2.54)","2.34 (1.40, 3.66)","4.38 (2.72, 6.75)","8.19 (5.47, 11.60)","9.97 (6.73, 14.06)","12.59 (8.54, 17.69)","1406.42 (680.46, 2974.03)"
1442,"Copiah County, Mississippi",28029,"0.60 (0.30, 1.03)","0.80 (0.44, 1.38)","1.31 (0.74, 2.16)","1.69 (0.96, 2.75)","2.90 (1.73, 4.38)","5.59 (3.68, 8.09)","7.04 (4.60, 10.21)","7.35 (4.67, 10.33)","1118.26 (510.40, 2495.41)"
1443,"Covington County, Mississippi",28031,"0.54 (0.27, 0.91)","0.74 (0.39, 1.22)","1.10 (0.62, 1.79)","1.60 (0.93, 2.64)","2.97 (1.77, 4.47)","5.36 (3.48, 7.75)","7.95 (5.13, 11.10)","8.39 (5.37, 12.45)","1454.71 (724.60, 3043.42)"
1444,"DeSoto County, Mississippi",28033,"0.53 (0.29, 0.85)","0.68 (0.39, 1.03)","0.99 (0.61, 1.52)","1.46 (0.98, 2.09)","2.74 (1.97, 3.71)","5.20 (3.96, 6.61)","7.09 (5.57, 8.78)","8.66 (6.82, 10.69)","1537.32 (878.80, 2913.18)"
1445,"Forrest County, Mississippi",28035,"0.63 (0.32, 1.10)","0.89 (0.48, 1.43)","1.38 (0.79, 2.19)","1.80 (1.08, 2.74)","3.51 (2.30, 5.02)","6.61 (4.85, 8.89)","9.28 (7.02, 12.03)","10.23 (7.75, 13.24)","1526.67 (773.84, 3148.54)"
1446,"Franklin County, Mississippi",28037,"0.55 (0.24, 1.06)","0.73 (0.36, 1.35)","1.13 (0.55, 2.11)","1.66 (0.79, 2.97)","2.84 (1.46, 4.74)","4.96 (2.69, 8.16)","6.99 (3.91, 11.11)","7.21 (3.93, 11.67)","1210.76 (575.44, 2692.20)"
1447,"George County, Mississippi",28039,"0.73 (0.38, 1.23)","1.10 (0.61, 1.77)","1.90 (1.11, 2.97)","2.99 (1.90, 4.53)","5.66 (3.82, 7.99)","9.58 (6.68, 12.97)","13.84 (10.22, 18.25)","15.79 (11.44, 20.76)","2071.64 (1130.16, 4136.19)"
1448,"Greene County, Mississippi",28041,"0.38 (0.18, 0.70)","0.51 (0.26, 0.90)","0.76 (0.38, 1.38)","1.09 (0.58, 1.86)","1.96 (1.02, 3.26)","3.60 (2.05, 5.85)","4.69 (2.77, 7.25)","5.28 (2.95, 8.44)","1280.71 (651.83, 2639.47)"
1449,"Grenada County, Mississippi",28043,"0.53 (0.24, 0.96)","0.68 (0.34, 1.16)","1.03 (0.52, 1.71)","1.47 (0.82, 2.43)","2.75 (1.62, 4.40)","5.05 (3.12, 7.41)","7.10 (4.35, 10.40)","7.95 (5.05, 11.70)","1412.94 (681.90, 3424.99)"
1450,"Hancock County, Mississippi",28045,"1.16 (0.67, 1.83)","1.70 (1.07, 2.65)","2.85 (1.82, 4.12)","4.72 (3.36, 6.52)","8.98 (6.75, 11.68)","16.21 (12.93, 19.66)","19.39 (15.56, 23.69)","21.09 (17.20, 25.34)","1716.29 (966.97, 3015.26)"
1451,"Harrison County, Mississippi",28047,"1.16 (0.72, 1.72)","1.51 (1.00, 2.17)","2.37 (1.62, 3.29)","3.25 (2.26, 4.48)","6.04 (4.63, 7.75)","12.55 (10.09, 14.90)","15.67 (13.15, 18.40)","17.96 (15.15, 20.70)","1443.90 (905.81, 2475.55)"
1452,"Hinds County, Mississippi",28049,"0.63 (0.34, 1.03)","0.71 (0.43, 1.12)","0.98 (0.60, 1.49)","1.32 (0.86, 1.94)","1.99 (1.31, 2.86)","3.40 (2.40, 4.68)","3.98 (2.90, 5.30)","4.16 (3.00, 5.52)","557.52 (277.79, 1179.64)"
1453,"Holmes County, Mississippi",28051,"0.51 (0.23, 0.95)","0.67 (0.34, 1.21)","0.96 (0.47, 1.67)","1.28 (0.65, 2.26)","2.26 (1.22, 3.84)","3.96 (2.18, 6.26)","5.35 (3.14, 8.37)","5.82 (3.20, 9.30)","1051.06 (418.03, 2551.62)"
1454,"Humphreys County, Mississippi",28053,"0.53 (0.25, 1.00)","0.66 (0.32, 1.23)","0.90 (0.43, 1.66)","1.16 (0.53, 2.22)","2.02 (0.99, 3.72)","3.78 (1.88, 6.47)","4.96 (2.61, 8.59)","5.00 (2.51, 8.54)","843.58 (337.45, 1915.28)"
1455,"Issaquena County, Mississippi",28055,"0.43 (0.19, 0.86)","0.54 (0.24, 1.07)","0.76 (0.34, 1.44)","1.18 (0.52, 2.22)","2.01 (0.86, 3.76)","3.48 (1.58, 6.29)","4.56 (2.27, 8.15)","4.44 (2.07, 8.05)","934.11 (373.89, 2263.84)"
1456,"Itawamba County, Mississippi",28057,"0.47 (0.23, 0.84)","0.66 (0.34, 1.12)","1.05 (0.56, 1.75)","1.63 (0.92, 2.67)","2.99 (1.83, 4.50)","5.48 (3.59, 7.98)","8.29 (5.68, 11.70)","8.57 (5.76, 11.83)","1706.26 (825.56, 3595.03)"
1457,"Jackson County, Mississippi",28059,"0.85 (0.51, 1.33)","1.30 (0.82, 1.95)","2.11 (1.43, 3.04)","3.34 (2.33, 4.50)","6.61 (4.98, 8.52)","13.97 (11.44, 16.64)","20.95 (17.89, 24.20)","20.23 (17.16, 23.51)","2275.12 (1348.36, 4014.33)"
1458,"Jasper County, Mississippi",28061,"0.55 (0.27, 1.01)","0.72 (0.38, 1.28)","1.09 (0.59, 1.83)","1.58 (0.89, 2.55)","3.09 (1.83, 4.79)","5.19 (3.38, 7.60)","7.15 (4.60, 10.33)","7.64 (4.92, 10.85)","1289.21 (607.67, 2720.53)"
1459,"Jefferson County, Mississippi",28063,"0.47 (0.20, 0.94)","0.57 (0.25, 1.05)","0.81 (0.37, 1.54)","1.23 (0.57, 2.46)","2.31 (1.08, 4.04)","4.27 (2.19, 7.38)","5.72 (3.04, 9.73)","5.90 (2.98, 9.94)","1150.81 (483.48, 2750.37)"
1460,"Jefferson Davis County, Mississippi",28065,"0.51 (0.22, 0.95)","0.73 (0.35, 1.34)","1.16 (0.58, 1.97)","1.80 (0.94, 2.91)","3.32 (1.93, 5.17)","6.45 (3.89, 9.77)","8.88 (5.44, 13.11)","9.75 (5.89, 14.26)","1816.10 (837.83, 4192.74)"
1461,"Jones County, Mississippi",28067,"0.64 (0.36, 1.07)","0.87 (0.49, 1.37)","1.23 (0.74, 1.83)","1.85 (1.15, 2.73)","3.10 (2.12, 4.42)","5.63 (4.16, 7.41)","8.06 (5.91, 10.55)","7.94 (5.71, 10.34)","1134.39 (581.53, 2339.18)"
1462,"Kemper County, Mississippi",28069,"0.40 (0.18, 0.78)","0.55 (0.26, 1.03)","0.85 (0.41, 1.59)","1.21 (0.55, 2.24)","2.26 (1.19, 3.81)","4.30 (2.37, 6.84)","6.10 (3.59, 9.64)","6.33 (3.38, 10.26)","1478.53 (611.75, 3771.34)"
1463,"Lafayette County, Mississippi",28071,"0.52 (0.26, 0.88)","0.66 (0.36, 1.11)","0.99 (0.54, 1.64)","1.40 (0.80, 2.21)","2.58 (1.61, 3.85)","4.89 (3.22, 6.93)","5.77 (3.98, 8.04)","6.24 (4.21, 8.57)","1107.22 (532.26, 2510.84)"
1464,"Lamar County, Mississippi",28073,"0.52 (0.29, 0.86)","0.72 (0.41, 1.17)","1.10 (0.68, 1.65)","1.57 (0.99, 2.32)","2.75 (1.90, 3.79)","5.31 (3.84, 7.03)","7.30 (5.50, 9.29)","8.13 (6.13, 10.40)","1468.53 (774.05, 2790.76)"
1465,"Lauderdale County, Mississippi",28075,"0.67 (0.34, 1.20)","0.89 (0.47, 1.42)","1.24 (0.70, 1.98)","1.70 (1.06, 2.49)","2.94 (1.96, 4.22)","5.54 (4.03, 7.35)","6.92 (5.04, 9.04)","6.85 (5.14, 8.92)","917.77 (467.21, 2014.67)"
1466,"Lawrence County, Mississippi",28077,"0.52 (0.25, 0.97)","0.72 (0.38, 1.31)","1.10 (0.61, 1.76)","1.69 (0.98, 2.76)","2.91 (1.80, 4.44)","5.44 (3.52, 7.88)","7.60 (4.95, 10.74)","8.70 (5.65, 12.43)","1560.76 (751.43, 3402.92)"
1467,"Leake County, Mississippi",28079,"0.55 (0.26, 1.04)","0.74 (0.37, 1.31)","1.12 (0.60, 1.92)","1.61 (0.86, 2.82)","2.74 (1.57, 4.50)","5.21 (3.23, 7.81)","6.63 (4.22, 9.72)","8.42 (5.42, 12.17)","1420.36 (636.64, 3483.60)"
1468,"Lee County, Mississippi",28081,"0.52 (0.28, 0.87)","0.66 (0.38, 1.03)","0.99 (0.59, 1.50)","1.42 (0.88, 2.13)","2.70 (1.87, 3.84)","4.75 (3.38, 6.24)","7.21 (5.26, 9.59)","7.16 (5.26, 9.40)","1290.36 (647.63, 2607.78)"
1469,"Leflore County, Mississippi",28083,"0.54 (0.25, 1.03)","0.68 (0.33, 1.20)","0.94 (0.47, 1.65)","1.37 (0.67, 2.40)","2.55 (1.41, 4.13)","5.31 (3.10, 8.11)","6.89 (4.06, 10.11)","6.74 (4.08, 10.35)","1146.91 (506.81, 2729.36)"
1470,"Lincoln County, Mississippi",28085,"0.59 (0.29, 1.00)","0.77 (0.42, 1.28)","1.27 (0.69, 2.02)","1.91 (1.07, 2.92)","3.53 (2.16, 5.29)","6.45 (4.28, 9.00)","9.83 (6.80, 13.70)","11.14 (7.69, 15.43)","1798.13 (936.42, 3763.43)"
1471,"Lowndes County, Mississippi",28087,"0.48 (0.24, 0.82)","0.62 (0.34, 0.99)","0.91 (0.54, 1.44)","1.38 (0.81, 2.05)","2.63 (1.76, 3.93)","5.09 (3.57, 7.02)","7.10 (5.10, 9.43)","7.86 (5.44, 10.57)","1535.39 (683.54, 3422.74)"
1472,"Madison County, Mississippi",28089,"0.41 (0.20, 0.74)","0.58 (0.32, 0.97)","0.89 (0.50, 1.51)","1.21 (0.70, 1.87)","2.40 (1.53, 3.55)","4.47 (3.08, 6.24)","5.86 (4.16, 8.02)","6.62 (4.76, 8.86)","1496.99 (717.97, 3310.60)"
1473,"Marion County, Mississippi",28091,"0.76 (0.42, 1.27)","1.16 (0.68, 1.77)","1.89 (1.15, 2.87)","3.16 (2.02, 4.62)","5.51 (3.80, 7.71)","10.35 (7.59, 13.55)","15.93 (12.09, 20.15)","16.83 (12.50, 21.70)","2104.57 (1101.47, 4037.64)"
1474,"Marshall County, Mississippi",28093,"0.63 (0.32, 1.09)","0.90 (0.47, 1.51)","1.32 (0.70, 2.18)","2.06 (1.20, 3.25)","3.47 (2.12, 5.27)","6.68 (4.52, 9.03)","8.31 (5.72, 11.33)","8.56 (5.81, 11.75)","1265.21 (637.40, 2672.54)"
1475,"Monroe County, Mississippi",28095,"0.44 (0.21, 0.81)","0.57 (0.30, 0.99)","0.86 (0.45, 1.45)","1.29 (0.71, 2.14)","2.32 (1.39, 3.55)","4.50 (2.84, 6.50)","6.25 (4.15, 8.84)","6.68 (4.46, 9.56)","1415.83 (730.95, 2916.21)"
1476,"Montgomery County, Mississippi",28097,"0.72 (0.30, 1.43)","0.96 (0.43, 1.80)","1.42 (0.63, 2.63)","2.00 (0.99, 3.63)","3.57 (1.91, 6.20)","6.37 (3.64, 9.97)","8.99 (5.31, 13.91)","9.97 (5.44, 15.19)","1287.45 (554.49, 3149.53)"
1477,"Neshoba County, Mississippi",28099,"0.88 (0.47, 1.57)","1.27 (0.70, 2.08)","1.83 (1.02, 2.89)","2.64 (1.54, 4.01)","4.86 (3.25, 6.97)","8.26 (5.84, 11.05)","11.03 (8.06, 14.56)","12.28 (8.98, 15.95)","1289.81 (643.40, 2597.40)"
1478,"Newton County, Mississippi",28101,"0.58 (0.28, 1.06)","0.77 (0.40, 1.31)","1.17 (0.61, 1.95)","1.73 (0.95, 2.86)","2.93 (1.73, 4.56)","5.24 (3.35, 7.63)","7.10 (4.76, 10.04)","7.66 (5.04, 11.20)","1218.02 (622.34, 2574.14)"
1479,"Noxubee County, Mississippi",28103,"0.33 (0.14, 0.67)","0.44 (0.18, 0.90)","0.65 (0.27, 1.25)","0.93 (0.39, 1.78)","1.69 (0.77, 3.02)","3.15 (1.59, 5.27)","4.40 (2.35, 7.29)","4.56 (2.33, 7.54)","1270.81 (545.68, 3015.41)"
1480,"Oktibbeha County, Mississippi",28105,"0.37 (0.16, 0.73)","0.46 (0.21, 0.83)","0.61 (0.28, 1.11)","0.86 (0.45, 1.54)","1.43 (0.73, 2.43)","2.53 (1.43, 3.98)","2.97 (1.76, 4.63)","3.11 (1.86, 4.80)","745.81 (322.03, 1896.50)"
1481,"Panola County, Mississippi",28107,"0.73 (0.35, 1.28)","0.99 (0.50, 1.61)","1.50 (0.82, 2.44)","2.16 (1.20, 3.59)","3.93 (2.48, 5.82)","6.97 (4.61, 9.73)","10.04 (6.87, 13.71)","11.58 (8.05, 15.69)","1484.30 (692.50, 3335.71)"
1482,"Pearl River County, Mississippi",28109,"1.41 (0.85, 2.17)","1.93 (1.27, 2.83)","2.91 (1.97, 4.13)","4.58 (3.27, 6.23)","8.20 (6.25, 10.58)","16.37 (13.16, 20.07)","19.55 (16.14, 23.46)","20.21 (16.77, 23.97)","1332.72 (812.56, 2338.46)"
1483,"Perry County, Mississippi",28111,"0.50 (0.26, 0.89)","0.74 (0.38, 1.25)","1.28 (0.67, 2.16)","2.00 (1.08, 3.29)","3.86 (2.27, 6.09)","7.33 (4.48, 10.98)","10.03 (6.29, 14.74)","13.04 (8.31, 18.55)","2485.15 (1277.14, 4986.02)"
1484,"Pike County, Mississippi",28113,"0.59 (0.31, 1.01)","0.80 (0.45, 1.32)","1.21 (0.68, 1.94)","1.79 (1.09, 2.68)","3.18 (2.09, 4.55)","6.14 (4.25, 8.42)","8.27 (5.96, 10.85)","9.61 (6.90, 12.80)","1522.11 (815.91, 3105.70)"
1485,"Pontotoc County, Mississippi",28115,"0.70 (0.34, 1.39)","0.93 (0.49, 1.69)","1.44 (0.76, 2.46)","2.11 (1.20, 3.48)","3.59 (2.20, 5.58)","6.22 (4.04, 8.96)","8.33 (5.61, 11.52)","9.82 (6.79, 13.45)","1294.40 (615.84, 2920.18)"
1486,"Prentiss County, Mississippi",28117,"0.67 (0.32, 1.16)","0.88 (0.46, 1.49)","1.39 (0.78, 2.36)","2.04 (1.15, 3.26)","3.40 (2.06, 5.27)","6.18 (4.13, 8.70)","9.19 (6.23, 12.98)","9.42 (6.43, 13.02)","1315.57 (648.19, 2919.83)"
1487,"Quitman County, Mississippi",28119,"0.81 (0.40, 1.47)","1.07 (0.53, 1.79)","1.68 (0.86, 2.91)","2.32 (1.27, 3.95)","4.06 (2.20, 6.66)","7.52 (4.33, 11.76)","10.39 (6.06, 16.15)","11.09 (6.29, 17.51)","1274.74 (559.21, 2778.40)"
1488,"Rankin County, Mississippi",28121,"1.02 (0.59, 1.57)","1.26 (0.78, 1.87)","1.76 (1.16, 2.51)","2.33 (1.61, 3.19)","4.15 (3.00, 5.52)","6.66 (5.13, 8.48)","9.55 (7.77, 11.68)","8.03 (6.37, 9.85)","691.28 (381.02, 1288.73)"
1489,"Scott County, Mississippi",28123,"0.71 (0.33, 1.24)","0.87 (0.46, 1.49)","1.22 (0.62, 2.03)","1.78 (1.00, 2.91)","2.89 (1.76, 4.30)","5.19 (3.27, 7.57)","6.60 (4.33, 9.81)","6.92 (4.67, 9.95)","880.99 (421.33, 1989.55)"
1490,"Sharkey County, Mississippi",28125,"0.61 (0.22, 1.28)","0.77 (0.33, 1.48)","0.99 (0.42, 1.99)","1.29 (0.56, 2.56)","2.09 (0.94, 3.86)","3.69 (1.75, 6.62)","4.74 (2.28, 8.66)","4.66 (2.17, 8.95)","666.76 (200.94, 1880.37)"
1491,"Simpson County, Mississippi",28127,"0.73 (0.36, 1.32)","0.98 (0.53, 1.64)","1.38 (0.76, 2.27)","1.93 (1.10, 3.02)","3.23 (2.01, 4.87)","5.63 (3.69, 8.03)","6.95 (4.67, 9.83)","7.71 (5.17, 10.66)","962.35 (490.91, 2049.25)"
1492,"Smith County, Mississippi",28129,"0.67 (0.34, 1.23)","0.88 (0.47, 1.55)","1.32 (0.65, 2.28)","2.00 (1.13, 3.30)","3.15 (1.82, 4.97)","5.85 (3.62, 8.70)","7.59 (4.92, 11.19)","8.59 (5.41, 12.68)","1182.90 (619.76, 2319.39)"
1493,"Stone County, Mississippi",28131,"0.66 (0.33, 1.15)","1.00 (0.54, 1.69)","1.66 (0.92, 2.78)","2.74 (1.61, 4.23)","5.03 (3.14, 7.53)","9.73 (6.69, 13.44)","12.89 (9.31, 17.05)","14.97 (10.40, 20.29)","2172.44 (1164.58, 4600.74)"
1494,"Sunflower County, Mississippi",28133,"0.53 (0.26, 0.94)","0.69 (0.36, 1.13)","1.04 (0.53, 1.84)","1.33 (0.66, 2.20)","2.06 (1.13, 3.30)","4.02 (2.34, 6.25)","5.11 (3.02, 8.04)","5.21 (3.02, 8.16)","877.89 (397.22, 1968.37)"
1495,"Tallahatchie County, Mississippi",28135,"0.59 (0.23, 1.08)","0.76 (0.34, 1.42)","1.09 (0.49, 2.01)","1.48 (0.71, 2.57)","2.57 (1.35, 4.38)","4.77 (2.63, 7.61)","6.77 (3.80, 10.44)","6.77 (3.71, 10.74)","1045.54 (471.86, 2641.48)"
1496,"Tate County, Mississippi",28137,"0.67 (0.29, 1.19)","0.90 (0.44, 1.57)","1.37 (0.71, 2.29)","2.07 (1.12, 3.32)","3.50 (2.12, 5.16)","6.99 (4.77, 9.84)","9.24 (6.46, 12.45)","10.24 (7.25, 13.86)","1427.72 (705.01, 3206.23)"
1497,"Tippah County, Mississippi",28139,"0.64 (0.29, 1.17)","0.76 (0.38, 1.34)","1.10 (0.56, 1.93)","1.56 (0.84, 2.59)","2.49 (1.46, 3.84)","4.32 (2.77, 6.48)","5.86 (3.84, 8.42)","5.94 (3.88, 8.72)","825.23 (336.33, 1936.13)"
1498,"Tishomingo County, Mississippi",28141,"0.80 (0.42, 1.40)","1.19 (0.66, 1.89)","2.16 (1.26, 3.59)","3.55 (2.14, 5.41)","6.65 (4.35, 9.72)","13.72 (9.88, 18.19)","20.29 (15.29, 26.31)","23.02 (17.47, 28.96)","2766.16 (1510.45, 5405.35)"
1499,"Tunica County, Mississippi",28143,"0.59 (0.28, 1.08)","0.77 (0.38, 1.40)","1.15 (0.57, 2.12)","1.49 (0.73, 2.59)","2.64 (1.37, 4.38)","5.24 (2.95, 8.44)","7.49 (4.32, 11.56)","7.46 (4.14, 11.85)","1155.73 (552.57, 2449.82)"
1500,"Union County, Mississippi",28145,"0.52 (0.26, 0.92)","0.63 (0.32, 1.10)","0.86 (0.45, 1.46)","1.17 (0.67, 1.88)","2.01 (1.19, 3.24)","3.57 (2.21, 5.43)","4.76 (3.00, 7.06)","5.69 (3.59, 8.68)","987.26 (461.44, 2072.80)"
1501,"Walthall County, Mississippi",28147,"0.63 (0.31, 1.20)","0.89 (0.46, 1.54)","1.43 (0.73, 2.46)","2.09 (1.18, 3.40)","3.72 (2.22, 5.74)","6.71 (4.24, 10.03)","9.23 (5.95, 13.50)","10.32 (6.62, 14.92)","1530.53 (798.43, 3122.49)"
1502,"Warren County, Mississippi",28149,"0.64 (0.31, 1.10)","0.84 (0.44, 1.39)","1.18 (0.65, 1.83)","1.70 (1.00, 2.72)","2.62 (1.69, 3.87)","4.74 (3.24, 6.62)","6.39 (4.52, 8.66)","6.24 (4.40, 8.54)","875.23 (411.86, 1987.42)"
1503,"Washington County, Mississippi",28151,"0.66 (0.32, 1.13)","0.81 (0.42, 1.39)","1.14 (0.60, 1.96)","1.50 (0.82, 2.47)","2.60 (1.53, 4.07)","4.48 (2.83, 6.48)","6.29 (4.19, 9.01)","6.09 (3.80, 9.07)","822.57 (381.71, 1738.22)"
1504,"Wayne County, Mississippi",28153,"0.59 (0.30, 1.05)","0.84 (0.43, 1.44)","1.31 (0.75, 2.20)","2.06 (1.18, 3.22)","3.80 (2.31, 5.81)","7.07 (4.51, 10.29)","10.12 (6.82, 14.10)","11.23 (7.52, 15.25)","1809.39 (981.92, 3710.88)"
1505,"Webster County, Mississippi",28155,"0.53 (0.24, 1.04)","0.70 (0.32, 1.30)","1.11 (0.50, 2.14)","1.69 (0.78, 3.03)","2.91 (1.52, 4.95)","5.34 (2.93, 8.69)","7.42 (4.35, 11.57)","8.02 (4.49, 12.90)","1403.46 (672.97, 3090.07)"
1506,"Wilkinson County, Mississippi",28157,"0.41 (0.17, 0.78)","0.58 (0.25, 1.11)","0.93 (0.42, 1.64)","1.37 (0.64, 2.46)","2.84 (1.40, 4.87)","5.26 (2.88, 8.49)","7.00 (3.98, 11.44)","7.90 (4.19, 12.53)","1840.26 (814.58, 4237.96)"
1507,"Winston County, Mississippi",28159,"0.65 (0.28, 1.25)","0.87 (0.41, 1.61)","1.35 (0.67, 2.33)","2.04 (1.05, 3.40)","3.55 (2.12, 5.50)","6.55 (4.20, 9.66)","8.61 (5.67, 12.14)","10.01 (6.75, 14.26)","1430.68 (666.30, 3561.40)"
1508,"Yalobusha County, Mississippi",28161,"0.54 (0.24, 1.03)","0.71 (0.31, 1.41)","1.03 (0.46, 2.00)","1.50 (0.73, 2.82)","2.61 (1.31, 4.62)","4.81 (2.58, 8.32)","6.53 (3.59, 10.54)","6.90 (3.68, 11.28)","1175.44 (494.94, 2892.06)"
1509,"Yazoo County, Mississippi",28163,"0.55 (0.27, 0.99)","0.71 (0.36, 1.27)","0.98 (0.52, 1.69)","1.33 (0.70, 2.24)","2.30 (1.30, 3.81)","4.25 (2.60, 6.50)","5.55 (3.51, 8.33)","5.68 (3.49, 8.64)","925.88 (447.03, 1966.18)"
1510,Missouri,29,"0.79 (0.67, 0.92)","1.00 (0.89, 1.14)","1.54 (1.37, 1.74)","2.24 (2.02, 2.47)","4.17 (3.86, 4.49)","7.60 (7.17, 8.03)","11.27 (10.69, 11.85)","12.10 (11.24, 12.84)","1434.74 (1168.82, 1693.94)"
1511,"Adair County, Missouri",29001,"0.50 (0.25, 0.88)","0.65 (0.36, 1.10)","0.98 (0.55, 1.61)","1.46 (0.89, 2.37)","2.62 (1.64, 4.01)","5.02 (3.30, 7.22)","6.88 (4.68, 9.51)","7.93 (5.30, 11.11)","1495.42 (754.16, 3215.26)"
1512,"Andrew County, Missouri",29003,"0.32 (0.15, 0.59)","0.41 (0.20, 0.68)","0.59 (0.30, 1.02)","0.87 (0.48, 1.56)","1.60 (0.93, 2.65)","3.04 (1.72, 4.75)","4.09 (2.45, 6.20)","4.57 (2.65, 7.32)","1328.03 (627.88, 2979.74)"
1513,"Atchison County, Missouri",29005,"0.35 (0.16, 0.67)","0.44 (0.21, 0.83)","0.62 (0.29, 1.13)","0.87 (0.39, 1.58)","1.55 (0.75, 2.71)","2.83 (1.45, 4.81)","3.72 (1.97, 6.37)","3.94 (2.03, 6.61)","1036.16 (416.52, 2523.91)"
1514,"Audrain County, Missouri",29007,"0.46 (0.25, 0.77)","0.67 (0.37, 1.08)","1.16 (0.69, 1.84)","1.79 (1.07, 2.67)","3.32 (2.20, 4.76)","6.68 (4.69, 9.18)","9.10 (6.29, 12.37)","10.11 (7.04, 13.52)","2077.35 (1143.46, 4076.65)"
1515,"Barry County, Missouri",29009,"0.42 (0.23, 0.70)","0.60 (0.35, 0.94)","0.98 (0.57, 1.49)","1.57 (0.98, 2.32)","3.04 (2.00, 4.33)","6.23 (4.40, 8.57)","9.33 (6.44, 12.74)","9.59 (6.77, 12.88)","2201.50 (1178.53, 4096.77)"
1516,"Barton County, Missouri",29011,"0.46 (0.22, 0.81)","0.63 (0.33, 1.10)","1.00 (0.51, 1.63)","1.61 (0.91, 2.58)","3.07 (1.92, 4.75)","5.64 (3.62, 8.13)","8.49 (5.69, 12.10)","10.05 (6.50, 14.18)","2104.56 (1081.87, 4474.35)"
1517,"Bates County, Missouri",29013,"0.61 (0.30, 1.04)","0.87 (0.46, 1.45)","1.44 (0.79, 2.27)","2.41 (1.42, 3.69)","4.57 (3.00, 6.59)","8.54 (5.94, 11.69)","13.25 (9.63, 17.82)","15.77 (11.20, 20.97)","2498.64 (1337.59, 5091.94)"
1518,"Benton County, Missouri",29015,"0.59 (0.30, 1.06)","0.85 (0.45, 1.40)","1.38 (0.76, 2.18)","2.20 (1.29, 3.35)","4.16 (2.66, 6.06)","7.90 (5.26, 11.03)","10.85 (7.45, 14.74)","12.43 (8.42, 17.31)","1995.54 (1021.81, 4300.83)"
1519,"Bollinger County, Missouri",29017,"0.48 (0.22, 0.86)","0.68 (0.36, 1.12)","1.06 (0.60, 1.78)","1.68 (0.97, 2.68)","2.73 (1.69, 4.29)","5.15 (3.23, 7.52)","7.50 (4.91, 10.99)","8.34 (5.40, 12.24)","1625.42 (807.98, 3609.43)"
1520,"Boone County, Missouri",29019,"0.71 (0.39, 1.17)","0.84 (0.49, 1.31)","1.34 (0.80, 2.02)","2.15 (1.38, 3.24)","3.49 (2.45, 4.75)","6.42 (4.83, 8.20)","9.97 (7.91, 12.28)","8.74 (6.92, 10.67)","1122.93 (613.80, 2207.50)"
1521,"Buchanan County, Missouri",29021,"0.58 (0.32, 0.97)","0.72 (0.43, 1.11)","1.14 (0.68, 1.74)","1.71 (1.08, 2.52)","3.07 (2.13, 4.31)","6.30 (4.64, 8.32)","8.43 (6.49, 10.81)","9.75 (7.43, 12.60)","1572.50 (854.56, 3232.92)"
1522,"Butler County, Missouri",29023,"0.81 (0.45, 1.33)","1.20 (0.70, 1.86)","2.07 (1.33, 3.15)","3.35 (2.21, 4.81)","6.63 (4.64, 9.00)","12.96 (9.93, 16.51)","19.27 (15.23, 23.63)","23.55 (18.80, 29.08)","2796.05 (1587.16, 5280.37)"
1523,"Caldwell County, Missouri",29025,"0.50 (0.25, 0.88)","0.69 (0.36, 1.19)","1.10 (0.58, 1.84)","1.73 (0.96, 2.73)","3.14 (1.85, 4.92)","5.92 (3.72, 8.67)","8.74 (5.55, 12.74)","9.50 (6.15, 14.20)","1789.88 (898.12, 3826.70)"
1524,"Callaway County, Missouri",29027,"0.53 (0.26, 0.94)","0.77 (0.43, 1.23)","1.37 (0.80, 2.16)","2.10 (1.26, 3.17)","3.95 (2.67, 5.55)","7.36 (5.22, 9.62)","12.15 (9.23, 15.47)","12.76 (9.80, 16.39)","2319.80 (1250.84, 5018.40)"
1525,"Camden County, Missouri",29029,"0.62 (0.37, 0.98)","0.88 (0.51, 1.40)","1.45 (0.93, 2.16)","2.38 (1.55, 3.40)","4.32 (3.01, 5.95)","8.31 (6.28, 10.76)","10.92 (8.54, 13.56)","12.31 (9.49, 15.31)","1874.80 (1096.83, 3446.62)"
1526,"Cape Girardeau County, Missouri",29031,"0.35 (0.19, 0.60)","0.47 (0.27, 0.73)","0.67 (0.41, 1.04)","1.06 (0.67, 1.58)","1.76 (1.17, 2.47)","3.34 (2.37, 4.50)","4.30 (3.12, 5.70)","4.79 (3.48, 6.30)","1251.04 (627.73, 2586.84)"
1527,"Carroll County, Missouri",29033,"0.52 (0.26, 0.93)","0.68 (0.33, 1.17)","1.04 (0.51, 1.78)","1.68 (0.93, 2.73)","2.89 (1.71, 4.59)","5.46 (3.43, 8.11)","7.77 (5.01, 11.63)","8.49 (5.34, 12.62)","1541.83 (727.62, 3308.53)"
1528,"Carter County, Missouri",29035,"0.55 (0.29, 0.98)","0.86 (0.47, 1.49)","1.41 (0.78, 2.31)","2.23 (1.30, 3.44)","4.19 (2.65, 6.18)","8.05 (5.44, 11.40)","12.04 (8.24, 16.58)","13.85 (9.03, 19.36)","2416.77 (1235.62, 4693.25)"
